Date,Voucher No.,Particulars,Type,Amount,Status
01-05-2024,INV-1001,ABC Enterprises,Sales,25000,Paid
01-05-2024,INV-1002,XYZ Traders,Sales,18500,Paid
02-05-2024,EXP-5001,Office Supplies,Expense,2350,Paid
02-05-2024,INV-1003,PQR Solutions,Sales,32000,Paid
03-05-2024,RCPT-2001,ABC Enterprises,Receipt,10000,Paid
03-05-2024,EXP-5002,Internet Bill,Expense,1200,Paid
04-05-2024,INV-1004,LMN Traders,Sales,15750,Unpaid
04-05-2024,EXP-5003,Travel Expense,Expense,4800,Paid
05-05-2024,INV-1005,Global Corp,Sales,40000,Paid
06-05-2024,INV-1006,ABC Enterprises,Sales,15000,Unpaid
07-05-2024,EXP-5004,Office Rent,Expense,25000,Paid
08-05-2024,INV-1007,XYZ Traders,Sales,12000,Paid
09-05-2024,EXP-5005,Electricity Bill,Expense,3500,Unpaid
10-05-2024,INV-1008,PQR Solutions,Sales,28000,Paid
11-05-2024,RCPT-2002,LMN Traders,Receipt,15750,Paid
12-05-2024,INV-1009,Delta Technologies,Sales,55000,Unpaid
13-05-2024,EXP-5006,Software Subscriptions,Expense,8500,Paid
14-05-2024,INV-1010,ABC Enterprises,Sales,42000,Paid
15-05-2024,EXP-5007,Marketing Agency,Expense,15000,Paid
16-05-2024,INV-1011,Global Corp,Sales,18000,Unpaid
17-05-2024,INV-1012,Delta Technologies,Sales,38500,Paid
17-05-2024,EXP-5008,Internet Bill,Expense,2600,Paid
18-05-2024,INV-1013,Delta Technologies,Sales,13000,Paid
18-05-2024,RCPT-2003,PQR Solutions,Receipt,30000,Paid
19-05-2024,INV-1014,ABC Enterprises,Sales,14500,Paid
19-05-2024,RCPT-2004,LMN Traders,Receipt,15750,Paid
20-05-2024,INV-1015,Delta Technologies,Sales,13750,Paid
20-05-2024,RCPT-2005,Omega Ltd,Receipt,17500,Paid
21-05-2024,INV-1016,PQR Solutions,Sales,46500,Unpaid
21-05-2024,RCPT-2006,LMN Traders,Receipt,28750,Paid
22-05-2024,EXP-5009,Courier Charges,Expense,8100,Paid
22-05-2024,EXP-5010,Office Rent,Expense,13950,Paid
23-05-2024,INV-1017,Omega Ltd,Sales,47250,Unpaid
23-05-2024,INV-1018,LMN Traders,Sales,50250,Paid
24-05-2024,EXP-5011,Marketing Agency,Expense,7600,Paid
24-05-2024,RCPT-2007,PQR Solutions,Receipt,19000,Unpaid
25-05-2024,RCPT-2008,Delta Technologies,Receipt,8000,Paid
25-05-2024,INV-1019,Sunrise Exports,Sales,21000,Paid
26-05-2024,RCPT-2009,LMN Traders,Receipt,25000,Unpaid
26-05-2024,RCPT-2010,Delta Technologies,Receipt,25750,Paid
27-05-2024,INV-1020,LMN Traders,Sales,41750,Paid
27-05-2024,INV-1021,Sunrise Exports,Sales,20750,Paid
28-05-2024,INV-1022,Omega Ltd,Sales,17000,Unpaid
28-05-2024,RCPT-2011,LMN Traders,Receipt,30000,Unpaid
29-05-2024,EXP-5012,Office Rent,Expense,17700,Unpaid
29-05-2024,EXP-5013,Electricity Bill,Expense,8500,Paid
30-05-2024,INV-1023,XYZ Traders,Sales,49250,Paid
30-05-2024,INV-1024,PQR Solutions,Sales,23250,Paid
